12,27,4,23,20
18,9,10,21,26
5,1,3,22,15
11,7,25,24,16
2,6,13,19,14

12,10,23,15,2
5,19,24,14,26
22,27,3,9,7
11,21,20,1,18
4,13,25,6,16

14,26,22,5,25
1,24,15,10,11
2,19,16,3,13
27,23,12,6,20
9,21,18,7,4

5,10,27,23,20
22,11,25,18,7
24,1,13,15,16
12,3,9,6,21
14,2,26,19,4

13,7,11,27,19
18,1,4,2,20
15,21,9,26,3
25,24,12,14,22
5,23,10,6,16

1,22,5,15,20
2,11,16,14,19
4,12,26,6,23
24,7,25,18,21
13,10,27,9,3

27,1,12,21,19
22,7,26,4,20
25,13,15,23,14
24,18,3,6,2
10,11,9,16,5

27,26,3,5,19
22,25,15,4,10
20,6,11,1,7
23,24,18,21,16
12,14,13,2,9

27,11,15,22,13
12,14,26,5,23
24,21,10,19,20
18,3,16,9,1
7,6,4,25,2

24,7,9,16,5
26,14,22,21,15
23,11,20,19,3
4,6,27,13,1
10,12,18,2,25

14,4,27,12,25
26,22,1,16,3
9,6,23,11,18
2,24,5,21,19
15,10,7,20,13

15,21,13,19,12
22,11,1,14,23
20,2,27,26,9
10,4,3,6,16
25,24,7,5,18

